Acworth,Sullivan,1891,43,13,04,72,17,31
Albany,Carroll,835,43,57,36,71,11,37
Alexandria,Grafton,1613,43,36,41,71,47,34
Allenstown,Merrimack,4322,43,09,28,71,24,17
Alstead,Cheshire,1937,43,08,56,72,21,38
Alton,Belknap,5250,43,27,15,71,13,11
Amherst,Hillsborough,1760,42,51,41,71,37,31
Andover,Merrimack,2371,43,26,11,71,49,24
Antrim,Hillsborough,2637,43,01,51,71,56,20
Ashland,Grafton,2076,43,41,42,71,37,54
Atkinson,Rockingham,6751,42,50,18,71,08,49
Atkinson and Gilmanton Academy Grant,Coos,0,44,59,00,71,06,58
Auburn,Rockingham,4953,43,00,16,71,20,54
Barnstead,Belknap,4593,43,20,26,71,15,39
Barrington,Strafford,8576,43,13,22,71,02,49
Bartlett,Carroll,2788,44,04,40,71,16,58
Bath,Grafton,1077,44,10,01,71,57,58
Bean's Grant,Coos,0,44,15,13,71,22,23
Bean's Purchase,Coos,0,44,17,40,71,08,19
Bedford,Hillsborough,21203,42,56,47,71,30,57
Belmont,Belknap,7356,43,26,34,71,28,57
Bennington,Hillsborough,1476,43,00,11,71,55,28
Benton,Grafton,364,44,06,11,71,54,06
Berlin,Coos,10051,44,28,07,71,11,02
Bethlehem,Grafton,2526,44,16,49,71,41,17
Boscawen,Merrimack,3965,43,18,54,71,37,15
Bow,Merrimack,7519,43,07,55,71,32,57
Bradford,Merrimack,1650,43,16,12,71,57,36
Brentwood,Rockingham,4486,42,58,43,71,04,22
Bridgewater,Grafton,1083,43,38,16,71,44,10
Bristol,Grafton,3054,43,35,28,71,44,12
Brookfield,Carroll,712,43,33,32,71,03,54
Brookline,Hillsborough,4991,42,44,01,71,39,49
Cambridge,Coos,8,44,39,35,71,06,31
Campton,Grafton,3333,43,51,53,71,38,12
Canaan,Grafton,3909,43,38,48,72,00,37
Candia,Rockingham,4198,43,04,40,71,16,36
Canterbury,Merrimack,2352,43,20,11,71,33,53
Carroll,Coos,1437,44,17,54,71,32,26
Center Harbor,Belknap,1096,43,42,29,71,27,49
Chandler's Purchase,Coos,0,44,16,01,71,21,49
Charlestown,Sullivan,5114,43,14,04,72,25,28
Chatham,Carroll,337,44,09,49,71,00,40
Chester,Rockingham,4768,42,57,24,71,15,26
Chesterfield,Cheshire,3604,42,53,14,72,28,13
Chichester,Merrimack,2523,43,14,57,71,23,59
Claremont,Sullivan,13355,43,22,20,72,20,15
Clarksville,Coos,265,45,01,03,71,24,50
Colebrook,Coos,2301,44,53,40,71,29,45
Columbia,Coos,757,44,52,40,71,30,51
Concord,Merrimack,42695,43,12,24,71,32,17
Conway,Carroll,10115,43,58,43,71,07,08
Cornish,Sullivan,1640,43,27,53,72,22,09
Crawford\'s Purchase,Coos,0,44,16,00,71,23,58
Croydon,Sullivan,764,43,27,02,72,09,47
Cutt's Grant,Coos,0,44,12,24,71,20,15
Dalton,Coos,979,44,24,57,71,41,41
Damp Bay,Kilderry,42,39,15,25,62,51,13
Danbury,Merrimack,1164,43,31,33,71,51,48
Danville,Rockingham,4387,42,54,45,71,07,28
Deerfield,Rockingham,4280,43,08,46,71,12,59
Deering,Hillsborough,1912,43,04,23,71,50,40
Derry,Rockingham,33109,42,52,50,71,19,38
Dix's Grant,Coos,1,44,54,12,71,11,51
Dixville,Coos,12,44,55,00,71,16,58
Dorchester,Grafton,355,43,45,24,71,56,55
Dover,Strafford,29987,43,11,41,70,52,30
Dublin,Cheshire,1597,42,54,21,72,03,39
Dummer,Coos,304,44,36,38,71,12,03
Dunbarton,Merrimack,2758,43,06,09,71,36,59
Durham,Strafford,14638,43,08,02,70,55,35
East Kingston,Rockingham,2357,42,55,32,71,01,00
Easton,Grafton,254,44,08,46,71,47,24
Eaton,Carroll,393,43,54,34,71,04,56
Effingham,Carroll,1465,43,45,40,70,59,47
Ellsworth,Grafton,83,43,52,26,71,44,14
Enfield,Grafton,4582,43,38,30,72,08,43
Epping,Merrimack,6411,43,02,00,71,04,27
Epsom,Merrimack,4566,43,13,21,71,19,57
Errol,Coos,291,44,46,53,71,08,16
Erving's Location,Coos,0,44,48,2,71,20,36
Exeter,Rockingham,14306,42,58,53,70,56,52
Farmington,Strafford,6786,43,23,23,71,03,56
Fitzwilliam,Cheshire,2396,42,46,50,72,08,30
Francestown,Hillsborough,1562,42,59,15,71,48,45
Franconia,Grafton,1104,44,13,38,71,44,54
Franklin,Merrimack,8477,43,26,39,71,38,51
Freedom,Carroll,1489,43,48,49,71,02,11
Fremont,Rockingham,4283,42,59,27,71,08,33
Gilford,Belknap,7126,43,32,51,71,24,26
Gilmanton,Belknap,3777,43,25,26,71,24,49
Gilsum,Cheshire,813,43,02,54,72,15,46
Goffstown,Hillsborough,17651,43,01,13,71,36,01
Gorham,Coos,2848,44,23,16,71,10,23
Goshen,Sullivan,810,43,18,04,72,08,52
Grafton,Grafton,1340,43,34,24,71,58,26
Grantham,Sullivan,2985,43,29,21,72,08,15
Greenfield,Hillsborough,1749,42,57,02,71,52,20
Greenland,Rockingham,3549,43,02,10,70,49,58
Greenville,Hillsborough,2105,42,46,02,71,48,44
Groton,Grafton,593,43,42,06,71,50,08
Hale's Location,Carroll,120,44,02,21,71,10,20
Hampstead,Rockingham,8523,42,52,28,71,10,52
Hampton,Rockingham,14976,42,56,15,70,50,20
Hampton Falls, Rockingham,2236,42,54,58,70,51,49
Hancock,Hillsborough,1654,42,58,22,71,58,47
Hanover,Grafton,11260,43,42,08,72,17,22
Harrisville,Cheshire,961,42,56,42,72,05,47
Hart's Location,Carroll,41,44,05,11,71,21,07
Haverhill,Grafton,4697,44,02,03,72,03,50
Hebron,Grafton,602,43,41,37,71,48,24
Henniker,Merrimack,4836,43,10,47,71,49,20
Hill,Merrimack,1089,43,31,18,71,42,05
Hillsborough,Hillsborough,6011,43,06,53,71,53,42
Hinsdale,Cheshire,4046,42,47,10,72,29,11
Holderness,Grafton,2108,43,43,52,71,35,18
Hollis,Hillsborough,7684,42,44,35,71,35,31
Hooksett,Merrimack,13451,43,05,48,71,27,54
Hopkinton,Merrimack,5589,43,11,29,71,40,31
Hudson,Merrimack,24467,42,45,53,71,26,23
Jackson,Carroll,816,44,08,45,71,10,51
Jaffrey,Cheshire,5457,42,48,50,72,01,23
